model,feature,importance,feature_type
Random Forest,Morgan_bit_350,0.0011597543624951292,Morgan fingerprint
Random Forest,Morgan_bit_351,0.00044337641971028686,Morgan fingerprint
Random Forest,Morgan_bit_352,0.0016551075885213168,Morgan fingerprint
Random Forest,Morgan_bit_353,0.0002478664987699324,Morgan fingerprint
Random Forest,Morgan_bit_354,0.0004845972238355084,Morgan fingerprint
Random Forest,Morgan_bit_355,9.100946827487346e-05,Morgan fingerprint
Random Forest,Morgan_bit_356,2.4546209793165308e-05,Morgan fingerprint
Random Forest,Morgan_bit_357,0.00021274324166207278,Morgan fingerprint
Random Forest,Morgan_bit_358,0.00014035281474084527,Morgan fingerprint
Random Forest,Morgan_bit_359,0.00017738008098324817,Morgan fingerprint
Random Forest,Morgan_bit_360,0.0002814427265881585,Morgan fingerprint
Random Forest,Morgan_bit_361,0.0013809705984782962,Morgan fingerprint
Random Forest,Morgan_bit_362,0.0004332179945089678,Morgan fingerprint
Random Forest,Morgan_bit_363,8.513735601665551e-05,Morgan fingerprint
Random Forest,Morgan_bit_364,0.0004042027772321353,Morgan fingerprint
Random Forest,Morgan_bit_365,0.00011438972999696228,Morgan fingerprint
Random Forest,Morgan_bit_366,0.0007173634961927304,Morgan fingerprint
Random Forest,Morgan_bit_367,0.00015517551345550892,Morgan fingerprint
Random Forest,Morgan_bit_368,0.00023644244774410499,Morgan fingerprint
Random Forest,Morgan_bit_369,0.0005253405498148924,Morgan fingerprint
Random Forest,Morgan_bit_370,0.0007152195398635067,Morgan fingerprint
Random Forest,Morgan_bit_371,0.0010789940395525748,Morgan fingerprint
Random Forest,Morgan_bit_372,9.468795650743012e-05,Morgan fingerprint
Random Forest,Morgan_bit_373,0.00015963515538641094,Morgan fingerprint
Random Forest,Morgan_bit_374,3.927268105143487e-05,Morgan fingerprint
Random Forest,Morgan_bit_375,0.00010804254257745944,Morgan fingerprint
Random Forest,Morgan_bit_376,0.00035118815983363884,Morgan fingerprint
Random Forest,Morgan_bit_377,6.675619894479595e-05,Morgan fingerprint
Random Forest,Morgan_bit_378,0.0020980669854203417,Morgan fingerprint
Random Forest,Morgan_bit_379,0.0002645236464440918,Morgan fingerprint
Random Forest,Morgan_bit_380,0.0002949093589118064,Morgan fingerprint
Random Forest,Morgan_bit_381,0.0008589806033911965,Morgan fingerprint
Random Forest,Morgan_bit_382,1.5938796993782892e-05,Morgan fingerprint
Random Forest,Morgan_bit_383,0.000297406751616314,Morgan fingerprint
Random Forest,Morgan_bit_384,0.00036223745720915954,Morgan fingerprint
